OrderNumber	InvoiceDate	Status	StatusDescription	CustomerCode	SalespersonCode	AssemblerCode	ShippingCode	CustomerPO	Initials	EstimatedOrder	ShipTo_Address1	ShipTo_Address2	ShipTo_City	ShipTo_Name	ShipTo_State	ShipTo_Zip	SoldTo_Address1	SoldTo_Address2	SoldTo_City	SoldTo_Name	SoldTo_State	SoldTo_Zip	TotalWeight	TotalFreightDist	InvoiceAppliedTo	SaleType	InvSubtotalTaxable	ScheduledShipDate	InvoiceSubtotal	TermsDescription	CustomerReleaseDate	OrderDate
609210	06/27/2011	92	Posted To General Ledger	3379	25	0	101	VETHACKE/CAFE ROMA	JS	2.81	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	0.54	0	0	1	2.81	06/24/2011	2.81	Net 30 Days	06/24/2011	06/24/2011
609213	06/27/2011	92	Posted To General Ledger	3379	25	0	101	OZZIE CALHOUN	JS	21.27	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	2.16	0	0	1	21.27	06/24/2011	21.27	Net 30 Days	06/24/2011	06/24/2011
609214	06/27/2011	92	Posted To General Ledger	3379	25	0	401	GERALDINE/VAUGHANS	JS	12.6	800 SUPREME DR	 	BENSENVILLE	US FOODSERVICE - CHICAGO	IL	60106	TRADE PAYABLES 	800 SUPREME DR	BENSENVILLE	USFOOD - CHICAGO SAMPLES 3Y	43	60106	2.12	0	0	1	12.6	06/24/2011	12.6	Net 30 Days	06/24/2011	06/24/2011
609217	06/27/2011	92	Posted To General Ledger	440	1	0	185	935330	JS	9072.4	9990 PRINCETON		CINCINNATI	PIERRE FOODS	OH	45246	208 E HELEN RD		PALATINE	JASON'S FOODS INC.	IL	60067	8792	40	0	1	9072.4	06/24/2011	9072.4	Net 7 Days	06/24/2011	06/24/2011
609220	06/27/2011	92	Posted To General Ledger	955	29	9	101		JS	2184.1	232 OAKBROOK CENTER		OAKBROOK	WILDFIRE - OAKBROOK	IL	60523	232 OAK BROOK CENTER	43	OAK BROOK	WILDFIRE - OAK BROOK	IL	60523	230.06	40	0	1	2184.1	06/27/2011	2184.1	20th EOM	06/27/2011	06/27/2011
609221	06/27/2011	92	Posted To General Ledger	71	29	17	101		JS	2373.9	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	235 PARKWAY DR.		LINCOLNSHIRE	WILDFIRE - LINCOLN	IL	60069	346.32	40	0	1	2373.9	06/27/2011	2373.9	20th EOM	06/27/2011	06/27/2011
609222	06/27/2011	92	Posted To General Ledger	3487	29	0	101		JS	2645.29	1250 E HIGGINS RD		SCHAUMBURG 	WILDFIRE - SCHAUMBURG	IL	60173	1250 E HIGGINS RD		SCHAUMBURG	WILDFIRE - SCHAUMBURG	IL	60173	369.94	40	0	1	2645.29	06/27/2011	2645.29	20th EOM	06/27/2011	06/27/2011
609223	06/27/2011	92	Posted To General Ledger	1033	4	0	101		JS	622.56	DBA GIBSONS STEAKHOUSE	5464 NO RIVER ROAD	ROSEMONT	RIVER ROAD ASSOCIATES L.L.C.	IL	60018	DBA GIBSONS STEAKHOUSE 	5464 NO RIVER ROAD	ROSEMONT	RIVER ROAD	IL	60018	31.9	40	0	1	622.56	06/27/2011	622.56	Net 30 Days	06/27/2011	06/27/2011
609224	06/27/2011	92	Posted To General Ledger	688	9	17	101		JS	1244.02	1031 N. RUSH		CHICAGO	TAVERN ON RUSH	IL	60611	1031 N. RUSH		CHICAGO	TAVERN ON RUSH	IL	60611	99.76	40	0	1	1244.02	06/27/2011	1244.02	Net 30 Days	06/27/2011	06/27/2011
609225	06/27/2011	92	Posted To General Ledger	67	4	23	101		JS	478.46	745 N RUSH		CHICAGO	RALPH LAUREN	IL	60611	115 E CHICAGO		CHICAGO	RALPH LAUREN	IL	60611	125.12	40	0	1	478.46	06/27/2011	478.46	Net 30 Days	06/27/2011	06/27/2011
609226	06/27/2011	92	Posted To General Ledger	3982	9	9	300		JS	10015.17	570 K STREET		SAN DIEGO	DONOVAN'S STEAK & CHOP HOUSE	CA	92101	570 K STREET		SAN DIEGO	DONOVAN'S STEAK - SAN DIEGO 	CA	92101	762.74	0	0	1	10015.17	06/27/2011	10015.17	Net 30 Days	06/27/2011	06/27/2011
609227	06/27/2011	92	Posted To General Ledger	3217	20	23	3	9274953V	JS	2464.24	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	542.22	0	0	1	2464.24	06/27/2011	2464.24	Net 14 Days	06/27/2011	06/27/2011
609228	06/27/2011	92	Posted To General Ledger	4150	9	17	101		DB	3987.94	300 N. LASALLE		CHICAGO	CHICAGO CUT STEAKHOUSE	IL	60654	300 N. LASALLE		CHICAGO	CHICAGO CUT STEAKHOUSE	IL	60654	345.53	40	0	1	3987.94	06/27/2011	3987.94	Net 14 Days	06/27/2011	06/27/2011
609229	06/27/2011	92	Posted To General Ledger	3243	25	9	101	8867923Y	JS	503.68	800 SUPREME DR.	 	BENSENVILLE	US FOODSERVICE-CHICAGO	IL	60106	TRADE PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - CHICAGO 3Y	AZ	85038-9283	83.95	0	0	1	502.02	06/27/2011	502.02	Net 14 Days	06/27/2011	06/27/2011
609230	06/27/2011	92	Posted To General Ledger	3691	29	9	101		DB	1226.19	1300 PATRIOT BLVD		GLENVIEW 	WILDFIRE - GLENVIEW	IL	60026	1300 PATRIOT BLVD		GLENVIEW	WILDFIRE - GLENVIEW	IL	60026	166.88	40	0	1	1226.19	06/27/2011	1226.19	20th EOM	06/27/2011	06/27/2011
609231	06/27/2011	92	Posted To General Ledger	938	29	0	101		DB	196.62	159 W. ERIE STREET		CHICAGO	WILDFIRE - CHICAGO	IL	60610	159 W. ERIE STREET		CHICAGO	WILDFIRE - CHICAGO	IL	60610	40.86	40	0	1	196.62	06/27/2011	196.62	20th EOM	06/27/2011	06/27/2011
609232	06/27/2011	92	Posted To General Ledger	98	9	17	101		DB	5562.33	720 NO. PLANKINTON AVENUE     		MILWAUKEE	MO'S - MILWAUKEE	WI	53203	152 WEST WISCONSIN AVE	SUITE 202	MILWAUKEE	MO'S - MILWAUKEE	WI	53202	409.84	200	0	1	5562.33	06/27/2011	5562.33	Net 30 Days	06/27/2011	06/27/2011
609235	06/27/2011	92	Posted To General Ledger	478	14	17	30	REPLACEMENT	DB	69.53	ROUTE 110 GATE 1		E. FARMINGDALE	56TH FIGHTER GROUP	NY	11735	ROUTE 110 GATE 1		E. FARMINGDALE	56TH FIGHTER GROUP	NY	11735	10.3	25.79	0	1	69.53	06/27/2011	69.53	Net 30 Days	06/27/2011	06/27/2011
609236	06/27/2011	92	Posted To General Ledger	3280	9	9	26		DB	6538.57	5760 LEGACY DRIVE	SUITE B-1	PLANO	BOB'S STEAK & CHOP - PLANO	TX	75024	5760 LEGACY DRIVE	SUITE B-1	PLANO	BOB'S STEAK & CHOP - PLANO	TX	75024	512.06	65	0	1	6538.57	06/27/2011	6538.57	Net 21 Days	06/27/2011	06/27/2011
609237	06/27/2011	92	Posted To General Ledger	216	9	0	26		DB	1433.18	4300 LEMMON AVENUE		DALLAS	BOB'S STEAK & CHOP HOUSE	TX	75219	4300 LEMMON AVENUE		DALLAS	BOB'S STEAK & CHOP - DALLAS	TX	75219	67.98	65	0	1	1433.18	06/27/2011	1433.18	Net 10 days	06/27/2011	06/27/2011
609238	06/27/2011	92	Posted To General Ledger	3710	9	38	300		DB	5806.33	3101 EAST CAMELBACK		PHOENIX	DONOVAN'S STEAK & CHOP HOUSE	AZ	85016	3101 EAST CAMELBACK		PHOENIX	DONOVAN'S STEAK - PHOENIX	AZ	85016	462.6	325	0	1	5806.33	06/27/2011	5806.33	Net 30 Days	06/27/2011	06/27/2011
609239	06/27/2011	92	Posted To General Ledger	3762	7	17	300		DB	4359.23	2000 E. BASTANCHURY ROAD		FULLERTON	SUMMIT HOUSE RESTAURANT	CA	92835	2000 E. BASTANCHURY ROAD		FULLERTON	SUMMIT HOUSE RESTAURANT	CA	92835	669.08	50	0	1	4359.23	06/27/2011	4359.23	Net 30 Days	06/27/2011	06/27/2011
609240	06/27/2011	92	Posted To General Ledger	893	9	38	300		DB	8811.7	4340 LA JOLLA VILLAGE DRIVE		LA JOLLA	DONOVAN'S STEAK & CHOP HOUSE	CA	92122	4340 LA JOLLA VILLAGE DRIVE		LA JOLLA	DONOVAN'S STEAK - LA JOLLA  	CA	92122	657.9	65	0	1	8811.7	06/27/2011	8811.7	Net 30 Days	06/27/2011	06/27/2011
609241	06/27/2011	92	Posted To General Ledger	1822	9	38	101		DB	2324.19	700 E. GRAND	 	CHICAGO	RIVA	IL	60611	C/O STEFANI MANAGEMENT SERVICE	1033 W VAN BUREN ST FL 5	CHICAGO	RIVA RESTAURANT - CHICAGO	IL	60607	229.04	40	0	1	2324.19	06/27/2011	2324.19	Net 30 Days	06/27/2011	06/27/2011
609242	06/27/2011	92	Posted To General Ledger	4075	9	17	30	1126001316	DB	225.75	2727 W CLUB DRIVE 	dba BOB'S STEAK & CHOP HOUSE	TUCSON	OMNI TUCSON NATIONAL RESORT	AZ	85742	dba BOB'S STEAK & CHOP HOUSE	2727 W CLUB DRIVE	TUCSON	OMNI TUCSON NATIONAL RESORT	AZ	85742	10.5	29.21	0	1	225.75	06/27/2011	225.75	Net 30 Days	06/27/2011	06/27/2011
609246	06/27/2011	92	Posted To General Ledger	4164	5	0	101		GR	140.81	320 W. 35TH STREET		CHICAGO	BACARDI AT THE PARK	IL	60616	320 W. 35TH STREET		CHICAGO	BACARDI AT THE PARK	IL	60616	20.26	40	0	1	140.81	06/27/2011	140.81	Net 30 Days	06/27/2011	06/27/2011
609247	06/27/2011	92	Posted To General Ledger	3801	4	23	101		GR	1020.14	18 E BELLEVUE		CHICAGO	LUX BAR	IL	60611	18 E BELLEVUE		CHICAGO	LUX BAR	IL	60611	151.82	40	0	1	1020.14	06/27/2011	1020.14	Net 30 Days	06/27/2011	06/27/2011
609249	06/27/2011	92	Posted To General Ledger	4136	4	23	101		GR	1040.19	2105 W. SPRING ROAD		OAK BROOK	GIBSON'S - OAKBROOK	IL	60523	2105 W. SPRING ROAD		OAK BROOK	GIBSON'S - OAKBROOK	IL	60523	77.04	40	0	1	1040.19	06/27/2011	1040.19	Net 30 Days	06/27/2011	06/27/2011
609252	06/27/2011	92	Posted To General Ledger	748	4	23	101		GR	4106.9	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	284	40	0	1	4106.9	06/27/2011	4106.9	Net 30 Days	06/27/2011	06/27/2011
609253	06/27/2011	92	Posted To General Ledger	930	29	0	101		DB	490	21 E. HUBBARD ST.	                              	CHICAGO	SHAWS CRAB HOUSE - CHICAGO 	IL	60611	21 E. HUBBARD ST.	        	CHICAGO	SHAWS CRAB HOUSE - CHICAGO 	IL	60611	28	40	0	1	490	06/27/2011	490	20th EOM	06/27/2011	06/27/2011
609257	06/27/2011	92	Posted To General Ledger	465	4	17	300		GR	3533.39	7501 EAST CAMELBACK 	           	SCOTTSDALE	DON & CHARLIES  	AZ	85251	7501 EAST CAMELBACK		SCOTTSDALE	DON & CHARLIES	AZ	85251	487.2	40	0	1	3533.39	06/27/2011	3533.39	10th EOM	06/27/2011	06/27/2011
609260	06/27/2011	92	Posted To General Ledger	3180	29	38	330		DB	4328.16	3020 PRAIRIE CENTER DRIVE		EDEN PRAIRIE	WILDFIRE - EDEN PRAIRIE       	MN	55344	3020 EDEN PRAIRIE CENTER		EDEN PRAIRIE	WILDFIRE - EDEN PRAIRIE       	MN	55344	532.7	90	0	1	4328.16	06/27/2011	4328.16	20th EOM	06/27/2011	06/27/2011
609261	06/27/2011	92	Posted To General Ledger	341	7	17	31		DB	783.16	1211 SOUTH PROSPECT		CHAMPAIGN	CHAMPAIGN COUNTRY CLUB	IL	61820	1211 SOUTH PROSPECT		CHAMPAIGN	CHAMPAIGN COUNTRY CLUB	IL	61820	83.5	0	0	1	764.27	06/27/2011	764.27	10th EOM	06/27/2011	06/27/2011
609262	06/27/2011	92	Posted To General Ledger	1469	3	0	361		JS	5146.47	7822 BON HOMME AVENUE		CLAYTON	MORTON'S - MISSOURI	MO	63105	7822 BON HOMME AVENUE		CLAYTON	MORTON'S - MISSOURI	MO	63105	305.27	0	0	1	5146.47	06/27/2011	5146.47	Net 30 Days	06/27/2011	06/27/2011
609263	06/27/2011	92	Posted To General Ledger	3450	9	17	30	DON	DB	1016.36	3424 PEACHTREE RD	N.E. SUITE 100	ATLANTA	NEW YORK PRIME - ATLANTA	GA	30326	3424 PEACHTREE RD	N.E. SUITE 100	ATLANTA	NEW YORK PRIME - ATLANTA	GA	30326	54.16	0	0	1	947.8	06/27/2011	947.8	Net 30 Days	06/27/2011	06/27/2011
609265	06/27/2011	92	Posted To General Ledger	3266	24	23	365	9384658L	JS	8249.69	28001 NAPIER RD		WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	TRADES PAYABLES	P.O. BOX 29283	PHOENIX 	US FOOD - DET/WIXOM 8L	AZ	85038-9283	1886.88	0	0	1	8249.69	06/27/2011	8249.69	Net 14 Days	06/27/2011	06/27/2011
609266	06/27/2011	92	Posted To General Ledger	3139	3	9	361		JS	3781	626 WEST MAIN STREET		LOUISVILLE	MORTON'S LOUISVILLE	KY	40202	626 WEST MAIN STREET		LOUISVILLE	MORTON'S - LOUISVILLE	KY	40202	235.7	68	0	1	3781	06/27/2011	3781	Net 30 Days	06/27/2011	06/27/2011
609267	06/27/2011	92	Posted To General Ledger	1476	3	0	361		JS	4260.99	618 CHURCH STREET		NASHVILLE	MORTON'S OF CHICAGO-NASHVILLE	TN	37219	618 CHURCH STREET	                              	NASHVILLE	MORTON'S - NASHVILLE	TN	37219	281.36	0	0	1	4260.99	06/27/2011	4260.99	Net 30 Days	06/27/2011	06/27/2011
609268	06/27/2011	92	Posted To General Ledger	3149	3	9	363		JS	10856.92	11951 FREEDOM DRIVE		RESTON	MORTON'S- RESTON	VA	20190	11956 MARKET STREET		RESTON	MORTON'S - RESTON	VA	20190	760.36	0	0	1	10856.92	06/27/2011	10856.92	Net 30 Days	06/27/2011	06/27/2011
609269	06/27/2011	92	Posted To General Ledger	4172	5	23	101		GR	1057.42	3000 SOUTH RIVER ROAD		DES PLAINES	RIVERS CASINO'S/HUGO'S FROG	IL	60018	RIVERS CASINO	3000 SOUTH RIVER ROAD	DES PLAINES	RIVERS CASINO/HUGO'S FROG BAR	IL	60018	137.66	40	0	1	1057.42	06/27/2011	1057.42	Net 30 Days	06/27/2011	06/27/2011
609273	06/27/2011	92	Posted To General Ledger	855	4	0	26		GR	7790.97	812 MAIN STREET		FT. WORTH	DEL FRISCO STEAK HSE-FT. WORTH	TX	76102	812 MAIN STREET		FT. WORTH	DEL FRISCO STEAK HSE-FT. WORTH	TX	76102	793.98	0	0	1	7662	06/27/2011	7662	Net 14 Days	06/27/2011	06/27/2011
609275	06/27/2011	92	Posted To General Ledger	3217	20	23	3	9397443V	JS	4496.73	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	455.28	0	0	1	4496.73	06/27/2011	4496.73	Net 14 Days	06/27/2011	06/27/2011
609276	06/27/2011	92	Posted To General Ledger	180	19	17	300		DB	5611.41	4043 HOWARD HUGHES PARKWAY		LAS VEGAS	LAWRY'S - LAS VEGAS	NV	89109	4043 HOWARD HUGHES PARKWAY		LAS VEGAS	LAWRY'S - LAS VEGAS	NV	89109	919.76	0	0	1	5611.41	06/27/2011	5611.41	10th EOM	06/27/2011	06/27/2011
609277	06/27/2011	92	Posted To General Ledger	3217	20	0	3	9396603V	JS	638.22	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	28.24	0	0	1	638.22	06/27/2011	638.22	Net 14 Days	06/27/2011	06/27/2011
609278	06/27/2011	92	Posted To General Ledger	2072	4	38	300		GR	6943.5	3925 PARADISE ROAD		LAS VEGAS	DEL FRISCO - LAS VEGAS	NV	89109	3925 PARADISE ROAD		LAS VEGAS	DEL FRISCO-LAS VEGAS	NV	89109	634.36	0	0	1	6840.15	06/27/2011	6840.15	Net 14 Days	06/27/2011	06/27/2011
609279	06/27/2011	92	Posted To General Ledger	3832	4	9	300	849355	GR	1342.98	9777 LAS VEGAS BLVD. SOUTH		LAS VEGAS	SOUTH POINT HOTEL & CASINO	NV	89183	9777 LAS VEGAS BLVD. SOUTH		LAS VEGAS	SOUTH POINT HOTEL & CASINO	NV	89183	62.82	0	0	1	1342.98	06/27/2011	1342.98	10th EOM	06/27/2011	06/27/2011
609280	06/27/2011	92	Posted To General Ledger	4119	4	17	30		GR	1803.7	6000 E. CAMELBACK ROAD		SCOTTSDALE	J & G STEAKHOUSE	AZ	85251	dba J&G STEAKHOUSE	6000 E. CAMELBACK ROAD 	SCOTTSDALE	CULINARY CONCEPTS PHOENICIAN	AZ	85251	98.42	0	0	1	1665.55	06/27/2011	1665.55	Net 21 Days	06/27/2011	06/27/2011
609281	06/27/2011	92	Posted To General Ledger	3943	9	0	26		DB	15372.68	1255 S MAIN ST	 	GRAPEVINE	BOB'S STEAK & CHOP         	TX	76051	1255 S MAIN ST	 	GRAPEVINE	BOB'S STEAK & CHOP-GRAPEVINE	TX	76051	1120.53	0	0	1	15372.68	06/27/2011	15372.68	Net 21 Days	06/27/2011	06/27/2011
609282	06/27/2011	92	Posted To General Ledger	3217	20	23	3	9398473V	JS	5956.63	12301 CUMBERLAND RD		FISHERS	US FOODSERVICE - INDIANAPOLIS	IN	46038	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - INDY 3V	AZ	85038-9283	928.02	0	0	1	5956.63	06/27/2011	5956.63	Net 14 Days	06/27/2011	06/27/2011
609283	06/27/2011	92	Posted To General Ledger	3463	9	38	300		DB	3746.13	10000 CRAWFORD CANYON ROAD		SANTA ANA	ORANGE COUNTY MINING CO.	CA	92705	10000 CRAWFORD CANYON ROAD		SANTA ANA	OCMC, INC DBA ORANGE COUNTY MI	CA	92705	377.5	0	0	1	3746.13	06/27/2011	3746.13	Net 30 Days	06/27/2011	06/27/2011
609284	06/27/2011	92	Posted To General Ledger	3451	1	0	401		SAT	173.74	2324 MOUND RD		JOLIET	KALUZNY BROS., INC.	IL	60436	2324 MOUND RD		JOLIET	KALUZNY BROS., INC.	IL	60436	2199	0	0	1	0	06/27/2011	173.74	Net 14 Days	06/27/2011	06/27/2011
609289	06/27/2011	92	Posted To General Ledger	3060	23	9	401	9405573K	JS	2408.36	ONE QUALITY LANE		STREATOR	US FOODSERVICE - STREATOR	IL	61364	TRADE PAYABLES 	P.O. BOX 29283	PHOENIX	US FOOD - STREATOR 3K 	az	85038	300.64	0	0	1	2408.36	06/27/2011	2408.36	Net 14 Days	06/27/2011	06/27/2011
609290	06/27/2011	92	Posted To General Ledger	3266	24	23	365	9408458L	JS	637.81	28001 NAPIER RD		WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	TRADES PAYABLES	P.O. BOX 29283	PHOENIX 	US FOOD - DET/WIXOM 8L	AZ	85038-9283	107.92	0	0	1	637.81	06/27/2011	637.81	Net 14 Days	06/27/2011	06/27/2011
609291	06/27/2011	92	Posted To General Ledger	417	4	9	26		GR	5265.33	5251 SPRING VALLEY ROAD		DALLAS	DEL FRISCO STK HSE - DALLAS	TX	75240	5251 SPRING VALLEY ROAD		DALLAS	DEL FRISCO - DALLAS	TX	75240	312.75	0	0	1	5214.63	06/27/2011	5214.63	Net 14 Days	06/27/2011	06/27/2011
609292	06/27/2011	92	Posted To General Ledger	3993	4	38	25		GR	5626.07	5061 WESTHEIMER RD		HOUSTON	DEL FRISCO STEAK HSE - HOUSTON	TX	77056	5061 WESTHEIMER RD		HOUSTON	DEL FRISCO STEAK HSE - HOUSTON	TX	77056	528.97	0	0	1	5539.97	06/27/2011	5539.97	Net 14 Days	06/27/2011	06/27/2011
609295	06/27/2011	92	Posted To General Ledger	3982	9	0	300	CREDIT	SAT	-24.5	570 K STREET		SAN DIEGO	DONOVAN'S STEAK & CHOP HOUSE	CA	92101	570 K STREET		SAN DIEGO	DONOVAN'S STEAK - SAN DIEGO 	CA	92101	-1.4	0	609106	9	-24.5	06/27/2011	-24.5	Net 30 Days	06/27/2011	06/27/2011
609297	06/27/2011	92	Posted To General Ledger	748	4	0	101	CREDIT	SAT	-71.28	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	1028 NORTH RUSH		CHICAGO	GIBSON'S	IL	60611	-4.12	0	608870	10	-71.28	06/27/2011	-71.28	Net 30 Days	06/27/2011	06/27/2011
609298	06/27/2011	92	Posted To General Ledger	3508	22	0	25	CREDIT	SAT	-165.53	111 ALLIANT DRIVE	 	HOUSTON	US FOOD - HOUSTON 6Y	TX	77032	TRADES PAYABLES	P.O. BOX 29283	PHOENIX	US FOOD - HOUSTON 6Y	AZ	85038-9283	-22.8	0	608101	9	-165.53	06/27/2011	-165.53	Net 14 Days	06/27/2011	06/27/2011
609300	06/27/2011	92	Posted To General Ledger	3266	24	23	365	9413488L	JS	1367.99	28001 NAPIER RD		WIXOM	US FOODSERVICE-DETROIT/WIXOM	MI	48393	TRADES PAYABLES	P.O. BOX 29283	PHOENIX 	US FOOD - DET/WIXOM 8L	AZ	85038-9283	74.55	0	0	1	1367.99	06/27/2011	1367.99	Net 14 Days	06/27/2011	06/27/2011
609303	06/27/2011	92	Posted To General Ledger	2125	30	17	30		DB	345.78	45000 PECHANGA PARKWAY	ATTN: JOHN	TEMECULA	PECHANGA RESORT & CASINO	CA	92592	                              		                  	SAMPLE ACCOUNT - JOEY CIULLA 	  	          	36.4	45.25	0	1	345.78	06/27/2011	345.78	UPON RECPT	06/27/2011	06/27/2011
609305	06/27/2011	92	Posted To General Ledger	4137	4	38	423	CQ02165	GR	3905.48	200 SOUTH FRONT STREET		EAST ST. LOUIS	CASINO QUEEN, INC.	IL	62201	200 SOUTH FRONT STREET		EAST ST. LOUIS	CASINO QUEEN, INC.	IL	62201	256.44	150	0	1	3905.48	06/27/2011	3905.48	Net 30 Days	06/27/2011	06/27/2011
609306	06/27/2011	92	Posted To General Ledger	3677	29	0	300		DB	8756.04	PRIME STEAK & STONE CRAB	3500 LAS VEGAS BLVD. SOUTH	LAS VEGAS	JOE'S SEAFOOD -   LAS VEGAS 	NV	89109	THE FORUM SHOPS AT CAESAR'S	3500 LAS VEGAS BLVD SOUTH#R-05	LAS VEGAS	JOE'S SEAFOOD - LAS VEGAS	NV	89109	510.16	50	0	1	8756.04	06/27/2011	8756.04	20th EOM	06/27/2011	06/27/2011
