VendorCode	Name	Address1	Address2	City	State	Zipcode	Phone	Purchases_YTD
10301	"ON HOLD" DO NOT USE	201 SUNSET DRIVE		WILMETTE,	IL	60091	847 251-2531	0
10302	"ON HOLD" DO NOT USE	P.O.BOX 371662M		PITTSBURGH	PA	15251	219-291-8325	0
10303	 "ON HOLD" DO NOT USE 	1421 NEPTUNE DRIVE		BOYNTON BEACH,	FL	33426	561 736-1993	0
10314	 "ON HOLD" DO NOT USE 	2729 E BUTLER ST.	PO BOX 11318	PHILADELPHIA,	PA	19137	215 743-7345	0
10316	"ON HOLD" DO NOT USE	33177 TREASURY CENTER		CHICAGO,	IL	60694-3100	402 330-1899	0
10317	"ON HOLD" DO NOT USE	P.O. BOX 95		LOGANTON	PA	17747	215-362-1425	0
10320	"ON HOLD" DO NOT USE	PO BOX 495		LOUISVILLE,	KY	40204	502 583-3881	0
10324	"ON HOLD" DO NOT  USE	P.O.Box 506		GLENNVILLE	GA	30427	1-8008432542	0
10325	"ON HOLD" DO NOT USE	824 N. DEODATE RD		ELIZABETHTOWN	PA	17022-9008	717-944-9920	0
10335	 "ON HOLD" DO NOT USE 	275 E. HINTZ RD.		WHEELING	IL	60090	847-520-8300	0
10353	 "ON HOLD" DO NOT USE 	33785 TREASURY CENTER		CHICAGO	IL	60694-3700	617-989-6356	0
10355	 "ON HOLD" DO NOT USE 	P.O. BOX 827029		PHILADELPHIA,	PA	19182-7029	215 465-3100	0
10360	 "ON HOLD" DO NOT USE 	P.O. BOX 93364	***DO NOT USE***	CHICAGO,	IL	60673-3364	773 650-5900	0
10400	SARA LEE FOODS	22849 NETWORK PLACE		CHICAGO	IL	60673-1228	800-823-7746	0
10405	 "ON HOLD" DO NOT USE 	144 AVON AVENUE		NEWARK,	NJ	7108	973 242-5000	0
10410	BIERIG BROS. INC.	3539 REILLY COURT	P.O. BOX 357	VINELAND	NJ	08362-0357	856-691-9765	0
10549	"ON HOLD" DO NOT USE			PHILADELPHIA,	PA	19125	215 739-4200	0
10550	"ON HOLD" DO NOT USE	135 S.LASALLE ST.	DEPT.3639	CHICAGO,	IL	60674-3639	312 829-4900	0
10600	BROWN PACKING CO.	P.O. BOX 703	                          	SOUTH HOLLAND,	IL	60473	708 849-7990	0
10607	"ON HOLD" DO NOT USE	P.O. BOX 609		CARTERET,	NJ	7008	732 541-0200	0
10615	THE BRUSS COMPANY	PO BOX 95758		CHICAGO,	IL	60694	773 282-2900	0
10679	"ON HOLD" DO NOT USE	2615 SOUTH FARRELL		CHICAGO	IL	60608		0
10680	 "ON HOLD" DO NOT USE 	P.O. BOX 3		DES MOINES,	IA	50301	800 654-1152	0
10760	C AND F PACKING COMPANY , INC.	515 PARK AVENUE	 	LAKE VILLA	IL	60046	847-245-2000	0
10761	 "ON HOLD" DO NOT USE 	P.O. BOX 533		WILLOW GROVE	PA	19090	215-784-9110	0
10766	 "ON HOLD" DO NOT USE 	P.O. BOX 589		MT. OLIVE	NC	28365	919-658-6743	0
10767	"ON HOLD" DO NOT USE	DEPT. 77-5619		CHICAGO	IL	60678-5619	773 890-0600	0
10768	"ON HOLD" DO NOT USE	CUSTOMER ACCOUNTS	P.O. BOX 502892	ST. LOUIS	MO	63150-2892	800 628-9524	0
10769	"ON HOLD" DO NOT USE	P.O.BOX 99504		CHICAGO	IL	60693	609 696-5600	0
10770	 "ON HOLD" DO NOT USE 	P.O. BOX 393		SOLEBURY	PA	18963	215 794-8948	0
10771	CARNEGIE DELI INC.	605 WASHINGTON AVE.		CARLSTADT	NJ	07072	201-507-5557	720.25
10800	"ON HOLD" DO NOT USE	1845 OAK STREET,	SUITE ONE	NORTHFIELD	IL	60093	847-446-3720	0
10898	"ON HOLD" DO NOT USE	2550 S. LEAVITT		CHICAGO,	IL	60609	773 247-4261	0
10900	C.G.& S. PROVISION CO.	159 N. CARPENTER STREET		CHICAGO,	IL	60607	312 243-4117	4343.91
10910	"ON HOLD" DO NOT USE	P.O. BOX 828681	                	PHILADELPHIA	PA	19182-8681	215-271-1000	0
10930	JR DESSERT BAKERY	2841 W. HOWARD ST.		CHICAGO	IL	60645	773 465-6733	743.8
10940	 "ON HOLD" DO NOT USE 	P.O.BOX 36		LAKE OSWEGO	OR	97034	503-222-2921	0
10950	"ON HOLD" DO NOT USE	4750 S. CALIFORNIA AVE.		CHICAGO,	IL	60632	773 927-1200	0
10951	"ON HOLD" DO NOT USE	PO BOX 1408		WESTERVILLE	OH	43086	614-891-8822	0
11001	CHIAPETTI WHOLESALE MEAT CO.	4258 SOLUTIONS CENTER	 	CHICAGO,	IL	60677-4002	773 847-1556	0
11025	CHICAGO BOXED BEEF	DISTRIBUTORS-DEPT. 3341	135 S. LASALLE	CHICAGO,	IL	60674-3341	815 729-4567	10505.25
11026	CHICAGO GAME & GOURMET	350 N. OGDEN AVE.		CHICAGO	IL	60607	312-455-1800	0
11050	SILVERTON RIDGE FARMS CO.	9229 S. BALTIMORE AVE.	                              	CHICAGO  	IL	60617	773-374-5600	0
11060	CHICAGO MEAT AUTHORITY	1522 PAYSPHERE CIRCLE		CHICAGO	IL	60674-1522	773-254-3811	0
11075	CHICAGO PRIME PACKERS	P.O.BOX 8070		AVON	CO	81620	970-949-6884	0
11100	"ON HOLD" DO NOT USE	311 N. ABERDEEN		CHICAGO,	IL	60607	312 666-1976	0
11111	"ON HOLD" DO NOT USE	801 ATLANTIC AVE		EGG HARBOR CITY	NJ	8215	609 804-1300	0
11114	"ON HOLD" DO NOT USE	2939 WEST GRAND AVENUE		CHICAGO	IL	60622	773-235-4000	0
11115	"ON HOLD" DO NOT USE	4230 S. RACINE AVE		CHICAGO,	IL	60609	773 523-1566	0
11116	"ON HOLD" DO NOT USE	220 N. SPRING STREET		ELGIN	IL	60120	847 697-1300	0
11117	 "ON HOLD" DO NOT USE 	P.O.BOX 899		WINTER HAVEN	FL	33882-0899	941-967-0636	0
11118	CONSUMERS PACKING COMPANY	135 S. LASALLE ST. DEPT.1244		CHICAGO	IL	60674-1244	800-356-9876	0
11244	 "ON HOLD" DO NOT USE 	755 THOMAS DRIVE		BENSENVILLE	IL	60106	630-595-2510	0
11245	COUGLE COMMISSION CO.	345 N. ABERDEEN		CHICAGO,	IL	60607	312 666-7861	7475.88
11246	COZZINI	P.O. BOX 46489		CHICAGO	IL	60646-0489	800-227-4447	866.25
11250	CRAELIUS POULTRY CO.	1100 FULTON MARKET		CHICAGO,	IL	60607	312 666-7100	1280.16
11255	"ON HOLD" DO NOT USE	P.O.BOX 650		WHEATLEY HTS.	NY	11798	516-253-0794	0
11299	"ON HOLD" DO NOT USE	PASTOSA RAVIOLI CO.	7425 NEW UTRECHT AVE	BROOKLYN	NY	11204	718-236-9615	0
11300	"ON HOLD" DO NOT USE	P.O.BOX 8905		CUDAHY	WI	53110	414-744-2000	0
11349	 "ON HOLD" DO NOT USE 	2111 BREMEN AVE.		EGG HARBOR	NJ	08215	609-965-2111	0
11350	"ON HOLD" DO NOT USE	88029 EXPEDITE WAY		CHICAGO,	IL	60695-0001	800-643-3410	0
11375	"ON HOLD" DO NOT USE	P.O. BOX 931811	                              	ATLANTA	GA	31193-1811	703-750-9600	0
11376	 "ON HOLD" DO NOT USE 	2900 THOMAS AVE. SO.	SUITE 300	MINNEAPOLIS	MN	55416	612-920-3400	0
11400	UNIQUE FOODS,INC.	520 EXECUTIVE DR.		WILLOWBROOK,	IL	60521	630 789-6474	0
11405	"ON HOLD" DO NOT USE							0
11440	"ON HOLD" DO NOT USE	12750 MERIT DRIVE	SUITE 600-158	DALLAS	TX	75251	972 770-4420	0
11459	"ON HOLD" DO NOT USE	DAVIS DRIVE - PO BOX 106		PASCOAG,	RI	2859	401 568-6228	0
11500	PROVIMI FOODS INC.	LOCK BOX BIN #137		MILWAUKEE,	WI	53288	920 833-6861	92599.57
11543	DEL VECCHIO FOODS, INC.	6210 WESTLINE DR.		HOUSTON	TX	77036	713-981-5054	0
11544	DELFT BLUE	33703 TREASUREY CENTER	                              	CHICAGO	IL	60694-3700	920-491-9550	0
11545	DELAWARE FARMS INC.	P.O.BOX 310		STROUDSBURG	PA	18360	717-421-3800	0
11546	 "ON HOLD" DO NOT USE 	123 W COLORADO ST.		LAS VEGAS	NV	89102	702-382-8988	0
11553	 "ON HOLD" DO NOT USE 	PO BOX 34219		NEWARK	NJ	07189-0219	610 644-2536	0
11574	"ON HOLD" DO NOT USE	1705 N. AMERICAN STREET		PHILADELPHIA	PA	19122	215-425-9900	0
11575	 "ON HOLD" DO NOT USE 	DFG FOODS,L.L.C.	P.O.BOX 911404	DALLAS	TX	75391-1404	312-279-1327	0
11576	"ON HOLD" DO NOT USE	321 N. MAIN STREET		HUTCHINSON	KS	67504-1570	800-648-7801	0
11577	 "ON HOLD" DO NOT USE 	P.O. BOX 128	40 SOUTH CHURCH STREET	MOHNTON	PA	19540	610-775-1220	0
11578	DPI SKANDIA	615 E. BROCK DR.		ARLINGTON HGTS.	IL		847-364-9704	0
11579	"ON HOLD" DO NOT USE	DOUBLE RL RANCH	5180 HIGHWAY 62	RIDGEWAY	CO	81432	970-626-5485	0
11600	ECONOMY PACKING CO.	939 W. FULTON ST.		CHICAGO	IL	60607	312 421-5566	0
11690	THE ELI'S CHEESECAKE COMPANY	DEPT. 77-52130		CHICAGO,	IL	60678-2130	773 736-3417	0
11700	EMMPAK-EXCEL CORP.	P.O. BOX 98220 		CHICAGO	IL	60693-8220	316-291-2690	0
11704	EMPIRE BEEF COMPANY	171 WEIDNER ROAD		ROCHESTER,	NY	14624	585-235-8506	0
11705	EMPRESS INTERNATIONAL,LTD.	10 HARBOR PARK DRIVE		PORT WASHINGTON	NY	11050	516-621-5900	0
11710	ESPOSITO'S	1001-03-05 S. 9TH ST.		PHILADELPHIA,	PA	19147	215 922-2659	0
11711	"ON HOLD" DO NOT USE	1627 S10TH. ST.		PHILADELPHIA	PA	19148	215-271-8418	0
11720	EUROPEAN IMPORTS,LTD	2475 N. ELSTON AVENUE	 	CHICAGO,	IL	60647-2033	773 227-0600	0
11750	CARGILL FOOD DISTRIBUTION	P.O. BOX 5007		WOODRIDGE	IL	60517	630-739-1746	771209.39
11751	CARGILL FOOD DISTRIBUTION	**BAR CODING ONLY**						0
11777	"ON HOLD" DO NOT USE	EXCELL FOOD DISTRIBUTION	614 HIGHLAND DRIVE	MOUNT HOLLY,	NJ	8060	609 265-3900	0
11778	 "ON HOLD" DO NOT USE 	P.O. BOX 3698		PHILADELPHIA	PA	19125	215-739-8450	0
11800	BONDUELLE INC	540 CHEMIN DES PATRIOTES	ST-DENIS-SUR-RICHELIEU	QUEBEC CANADA	 	JOH 1KO	450-469-0671	8331.69
11811	"ON HOLD" DO NOT USE	117 SOUTH WATER MARKET		CHICAGO	IL	60608	312-733-5566	0
11812	FARMINGTON FOODS CO	135 S LASALLE, DEPARTMENT 4806		CHICAGO,	IL	60674-4806	708 771-3600	0
11813	"ON HOLD" DO NOT USE	CUSTOMER ACCOUNTS	P.O. BOX 27-266	KANSAS CITY	MO	64180-0266	800-843-6603	0
11814	"ON HOLD" DO NOT USE	3010-715 5TH AVENUE S.W.		CALGARY	AL	T2P 2X6	403-265-9200	0
11815	VANTAGE USA LLC	1109 PAULINA		OAKPARK	IL	60302	773-247-1086	0
11865	CAPITAL WHOLESALE MEAT	135 S. LASALLE	DEPT. 2296	CHICAGO	IL	60674-2296	773-890-0600	0
11870	FOODCOMM INTERNATIONAL	PO BOX 673270	 	DETROIT	MI	48267-3270	650 813-1300	41761.26
11871	FOUR STAR FOODS	1230 W.FULTON MARKET		CHICAGO	IL	60607	312 563-0300	0
11872	"ON HOLD" DO NOT USE	P.O.BOX 709		MONTGOMERY	IL	60538-0709	630 896-1991	0
11873	"ON HOLD" DO NOT USE	1123-25 WEST LAKE STREET		CHICAGO	IL	60607	312 243-1885	0
11874	"ON HOLD" DO NOT USE	p.o.box 92170		elk grove	IL	60009	630 766-0400	0
11875	STOCK YARD PACKING CO (ST PAUL	CROSSDOCK						0
12000	FREEDMAN DISTRIBUTORS	P.O. BOX 7789  		HOUSTON	TX	77270	214-331-8711	0
12028	GALAXY DESSERTS	1100 MARINA WAY SOUTH, UNIT D		RICHMOND	CA	94804	415-459-3537	0
12029	CHICAGO PREMIER MEATS, INC.	822 WEST EXCHANGE AVE.		CHICAGO	IL	60609	773-847-5400	7774.8
12030	"ON HOLD" DO NOT USE	1100-A EAST ASH STREET		FULLERTON,	CA	92831	714 526-2278	0
12031	PREFERRED BEEF LLC	1428 EDWARDSVILLE ROAD	PO BOX 775	GRANITE CITY	IL	62040	618-452-8180	0
12040	GOLDEN COUNTRY ORIENTAL FOOD 	COMPANY	2701 S WELLS ST.	CHICAGO	IL	60616-2792	773-847-1700	0
12060	GOURMET EXPRESS MARKETING INC.	920 W. FULLERTON 		ADDISON	IL	60101	630-628-1212	0
12061	GRANT PARK PACKING CO.	842 W. LAKE ST.		CHICAGO	IL	60607	312 421-4096	913.21
12066	GOOD WIVES, INC.	330 BALLARDVALE STREET		WILMINGTON	MA	01887	800-521-8160	0
12067	GREAT WESTERN BEEF	UNION STOCK YARDS	4044 S. HALSTED ST.	CHICAGO,	IL	60609	773 927-3790	44045.99
12068	GREATER OMAHA PACKING CO.	ATTN: ACCOUNTS RECEIVABLE	P.O. BOX 7566	OMAHA	NE	68107	402-731-1700	952521.02
12071	"ON HOLD" DO NOT USE	1320-A S. AURORA		STOCKTON	CA	95206	209 466-3200	0
12110	GROVE MEAT CO.	2222 GROVE ST.		BLUE ISLAND,	IL	60406	708 385-8400	98250.28
12115	 "ON HOLD" DO NOT USE 	P.O. BOX 65458		CHARLOTTE	NC	28265-0458	757-357-3131	0
12200	JOHN T. HANDY CO.,INC.	PO BOX 309		CRISFIELD	MD	21817	800 426-3977	0
12255	"ON HOLD" DO NOT USE	PO BOX 902		HATFIELD,	PA	19440	215 368-2500	0
12256	"ON HOLD" DO NOT USE	P.O.BOX 768		TOLLESON	AZ	85353	800-883-6328	0
12257	"ON HOLD" DO NOT USE	P.O.Box 711142		Cincinnati	Oh	45271-1142	818-768-4410	0
12260	"ON HOLD" DO NOT USE	4460 W. ARMITAGE		CHICAGO,	IL	60639	773 227-5400	0
12324	HOLIDAY FOODS	2050 MCKINLEY STREET		HOLLYWOOD	FL	33020	954 921-7786	0
12325	HORMEL FOODS CORP.	PO BOX 93624		CHICAGO	IL	60673	800 533-2000	0
12340	"ON HOLD" DO NOT USE	126 TOUHY COURT		DES PLAINES,	IL	60018	847 298-2800	0
12341	"ON HOLD" DO NOT USE	1 BALTIMORE AVE.		LINDEN	NJ	07036	908-925-2288	0
12342	HONOR FOODS	1801 NORTH 5TH STREET		PHILADELPHIA	PA	19122	800-462-2890	0
12345	"ON HOLD" DO NOT USE	P.O. BOX 639		VERO BEACH	FL	32961	407-567-3766	0
12355	"ON HOLD" DO NOT USE	REFER TO 12780						0
12356	"ON HOLD" DO NOT USE	ULCHEK						0
12357	"ON HOLD" DO NOT USE	135 AMITY ST		JERSEY CITY	NJ	07304	513-772-6011	0
12358	"ON HOLD" DO NOT USE							0
12359	"ON HOLD" DO NOT USE	WEINSTEIN						0
12360	"ON HOLD" DO NOT USE	C.G.S.						0
12402	"ON HOLD" DO NOT USE	83-95 SOUTH WATER MARKET		CHICAGO,	IL	60608	312 666-5868	0
12406	"ON HOLD" DO NOT USE						610 253-1400	0
12408	"ON HOLD" DO NOT USE	PO BOX 402427		MIAMI BEACH,	FL	33140	305 885-9666	0
12450	TYSON FRESH MEATS, INC.	P.O. BOX 915137		DALLAS	TX	75391-5137	8003359835	4509636.14
12451	"ON HOLD" DO NOT USE							0
12452	PILOT BRAND	P.O. BOX 10107		ZEPHYR COVE	NV	89448	800-621-5262	6753.37
12453	ICEBRAND FOODS, INC.	92 WALDRON WAY		PORTLAND	ME	04103	207-797-2850	0
12496	JASON'S FOODS INC.	3655 WOODHEAD DR.		NORTHBROOK	IL	60062	847-564-8350	0
12497	J&B GROUP	M&141	P.O. BOX 1150	MINNEAPOLIS	MN	55480-1150	612-497-3913	0
12498	JAMES C. CALVETTI MEATS	4240 S. MORGAN		CHICAGO,	IL	60609	773 927-9242	0
12499	R.W. JOYCE CO.,INC.	11777 SAN VINCENTE BLVD.	PO BX 49917-SUITE 500	LOS ANGELES,	CA	90049	310-820-8150	0
12500	JOHNSONVILLE FOODS COMPANY	DEPT. 3864	PO BOX 2088	MILWAUKEE,	WI	53201-2088	920 459-6800	0
12501	"ON HOLD" DO NOT USE	PO BOX 808		FORT ATKINSON,	WI	53538	920 563-2431	0
12502	"ON HOLD" DO NOT USE	1498 BROADWAY 		CAMDEN	NJ	08104	609-963-3250	0
12503	"ON HOLD" DO NOT USE	J.J.W. SAUSAGE CO.	P.O. BOX 34648	PHILADELPHIA	PA	19101-4648	215-276-4530	0
12504	"ON HOLD" DO NOT USE	ATTN.:WARREN F. BEIDEMAN, III	710 UPPER STATE ROAD	NORTH WALES	PA	19154	215-736-2521	0
12657	KELLY CORNED BEEF CO.	P.O. BOX 88283		CHICAGO,	IL	60680-1283	773 588-2882	0
12658	"ON HOLD" DO NOT USE	P.O. BOX 51166		LOS ANGELES	CA	90051-5466	323-582-7401	0
12709	 "ON HOLD" DO NOT USE 	625 EAST BROAD STREET		QUAKERTOWN	PA	18951-1765	215-536-4221	0
12710	KOENIG'S PROVISION CO	1136 W. RANDOLPH ST.		CHICAGO,	IL	60607	312 942-0268	51541.62
12751	"ON HOLD" DO NOT USE	ABBYLAND ILLINOIS NORWEST BANK	NW7135 P.O.BOX 1450	MINNEAPOLIS	MN	55485-7135	312 243-8826	0
12752	"ON HOLD" DO NOT USE	P.O. BOX 1550		FALL RIVER	MA	02722	508-677-4608	0
12802	L. GRANT & SONS,INC.	PO BOX 82653		LINCOLN	NE	68501-2653	602-896-2300	0
12804	L & P PROVISIONS	1301 W. LAKE		CHICAGO,	IL	60607	312 243-7800	0
12850	ATK FOODS	1141-49 W. LAKE STREET		CHICAGO,	IL	60607	312 829-2250	2825.82
12853	LIMA FOOD PRODUCTS	911 W. FULTON MARKET ST		CHICAGO	IL	60607	312-733-3611	0
12855	LINCOLN PROVISION,INC.	824 W. 38TH PLACE		CHICAGO,	IL	60609	773 254-2400	40793.89
12860	"ON HOLD" DO NOT USE	824 W. 38TH PLACE		CHICAGO	IL	60609	773 254-2400	0
12868	 "ON HOLD" DO NOT USE 	280 MAIN STREET 	SUITE 202	NORTH READING	MA	01864	978-276-0909	0
12870	LODOLCE MEAT COMPANY	P.O. BOX 50718		CICERO	IL	60804	708-863-9135	0
12881	"ON HOLD' DO NOT USE	10625 RT 14		WOODSTOCK,	IL	60098	815 334-9003	0
12882	 "ON HOLD" DO NOT USE 	9 EMERALD COURT		TOMS RIVER	NJ	08753	732-270-9473	0
12954	 "ON HOLD" DO NOT USE 	3632 S. 3RD ST.		PHILADELPHIA,	PA	19148	215 465-3902	0
12955	"ON HOLD" DO NOT USE	31 BELMONT AVENUE		BROOKLYN	NY	11212	7184352800	0
12957	 "ON HOLD" DO NOT USE 	66 E. UNION AVE.		EAST RUTHERFORD	NJ	07073	201 935-3330	0
12958	MARCHO FARMS INC.	176 ORCHARD LANE		HARLEYSVILLE	PA	19438	215-721-7131	0
12959	 "ON HOLD" DO NOT USE 	1910 VINE ROAD		VINELAND	NJ	08361	856-691-4848	0
13001	"ON HOLD" DO NOT USE	1000 WOODBURY RD.	P.O. BOX 550	WOODBURY	NY	11797-0550		0
13002	MARCUS FOOD COMPANY	PO BOX 781659		WICHITA,	KS	67278	316 686-7649	0
13003	"ON HOLD" DO NOT USE	PO BOX 10352		FULLERTON,	CA	92635	714 777-1464	0
13005	MARTIN'S SAUSAGE CO.	150 HARMONY ROAD		MICKLETON	NJ	08056	856-423-4000	0
13006	"ON HOLD" DO NOT USE	5360 N. FRANKLIN ST.		DENVER,	CO	80216	303 294-0146	0
13007	"ON HOLD" DO NOT USE	P.O. BOX 813		RED BANK	NJ	07701	732-936-1211	0
13008	"ON HOLD" DO NOT USE	PO BOX 99109		CHICAGO	IL	60693-9109	847 433-1150	0
13009	"ON HOLD" DO NOT USE	1276 CLEMENTS BRIDGE RD.		DEPTFORD	NJ	08096		0
13010	"ON HOLD" DO NOT USE	P.O. BOX 905266		CHARLOTTE	NC	28290-5266	519-744-7182	0
13011	"ON HOLD" DO NOT USE	1276 CLEMENTS BRIDGE RD.		DEPTFORD	NJ	08096	856-853-0178	0
13012	META FOODS, LLC.	5730 GLENRIDGE DRIVE	SUITE 302	ATLANTA	GA	30328	404-843-2400	0
13145	MICOSA INTERNATIONAL, INC	3415 N. KENNICOTT AVE	 	ARLINGTON HTS,	IL	60004	847-632-1200	0
13202	MORLEY SALES CO., INC.	809 W. MADISON ST.		CHICAGO,	IL	60607	630-845-8750	28517.5
13203	"ON HOLD" DO NOT USE	4 MOSEY DRIVE		BLOOMFIELD	CT	06002	800-238-0020	0
13206	"ON HOLD" DO NOT USE	E-8 HUNTS POINT COOPERATIVE MA		BRONX,	NY	10474-7559	718 328-5600	0
13210	"ON HOLD" DO NOT USE	885 PROVIDENCE ROAD		SCRANTON,	PA	18508	800 521-8325	0
13240	"ON HOLD" DO NOT USE	851 W. FULTON ST.		CHICAGO,	IL	60607	312 733-3575	0
13245	SWIFT & COMPANY	P.O BOX 88920		CHICAGO	IL	60695-1920	970-506-8000	179801.85
13246	 "ON HOLD" DO NOT USE 	P.O.BOX 19130		PHOENIX	AZ	85005	602-2725526	0
13250	JOHN R. MORREALE INC.	216 N. PEORIA STREET		CHICAGO,	IL	60607	312 421-3664	9467.16
13251	 "ON HOLD" DO NOT USE 	64 RYE AVENUE		STATEN ISLAND	NY	10312	718-948-7029	0
13270	 "ON HOLD" DO NOT USE 	P.O. BOX 905266	                              	CHARLOTTE	NC	28290-5266	519 744-3330	0
13275	"ON HOLD" DO NOT USE	PACKERLAND-PLAINFIELD 	P.O. BOX 247	PLAINWELL,	MI	49080-0247	269-685-6886	0
13289	"ON HOLD" DO NOT USE	4047 PARK AVENUE		BRONX	NY	10457	718-731-4996	0
13290	"ON HOLD" DO NOT USE	P.O. BOX 30960		SAN BERNARDINO	CA	92410	909-383-7075	0
13299	 "ON HOLD" DO NOT USE 	3974 COLLECTIONS CENTER DR.	                              	CHICAGO	IL	60693	860-243-1725	0
13300	"ON HOLD" DO NOT USE	1400 OLD COUNTRY RD.	SUITE 400	WESTBURY	NY	11590-5119	516-338-8500	0
13301	"ON HOLD" DO NOT USE	319 DAVISVILLE ROAD		WILLOW GROVE	PA	19090	215-657-1144	0
13302	AB FOODS	FILE 30596	PO BOX 60000	SAN FRANCISCO	CA	94160	208-338-2500	510488.29
13418	 "ON HOLD" DO NOT USE 	P.O. BOX 91511	                              	CHICAGO	IL	60693	402-595-5947	0
13419	"ON HOLD" DO NOT USE	D-7 HUNTS POINT COOP. MARKET		BRONX	NY	10474	718-328-5270	0
13420	 "ON HOLD" DO NOT USE 	1630 NW. 70TH. AVE. 		MIAMI	FL	33126	305-592-0300	0
13430	NATIONAL BEEF PACKING CO.	PO BOX 874875		KANSAS CITY,	MO	64187-4875	816-713-8500	1443415.36
13449	"ON HOLD" DO NOT USE	10 RAILROAD AVE.		NORWICH	CT	06360	860-885-0526	0
13450	NEALEY FOODS,INC.	900 W. FULTON ST.		CHICAGO,	IL	60607	312 829-0856	0
13451	NEBRASKA BEEF,INC.	PO BOX 3332    .		OMAHA,	NE	68103-0332	402 733-7000	65090.76
